"naics_industry","province","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Fishing, hunting and trapping","New Brunswick",2.7,2.4,2.2,2.1,1.9,1.6,1.8,2.5,2.5,2.5
"Mining, quarrying, and oil and gas extraction 9","New Brunswick",5.5,5.9,5.7,5.7,4.3,3.4,4.3,4.3,3.1,3.1
"Utilities","New Brunswick",3.4,3.8,3.8,3.3,3.4,3.1,2.9,3.2,3.2,3.5
"Construction","New Brunswick",28.2,29.4,28.9,24.3,24.5,24.9,24.5,26,24.9,23.4
"Manufacturing","New Brunswick",28.9,28.8,29.1,31,31.7,31.4,31.6,31.3,30.5,29.8
"Durables","New Brunswick",13.4,12.8,13.4,13.1,15.9,14.6,16.3,14.5,13.9,13.3
"Non-durables","New Brunswick",15.5,16,15.8,17.9,15.8,16.9,15.4,16.8,16.6,16.5
"Services-producing sector 11","New Brunswick",277.9,278.7,279.9,281.4,283.5,287,287.2,286.8,279.1,292.2
"Wholesale and retail trade","New Brunswick",55.8,57.2,59,58.3,60.1,58.7,55.1,53.2,54.8,57.8
"Wholesale trade","New Brunswick",10.2,11.5,10,10.3,10.7,11,8.3,9.1,9.9,10.2
"Retail trade","New Brunswick",45.6,45.7,49,47.9,49.4,47.8,46.9,44.1,44.9,47.6
"Transportation and warehousing","New Brunswick",18.2,18.4,16.2,18.8,18.9,18.4,18.3,18.6,16.8,19.4
"Finance, insurance, real estate, rental and leasing","New Brunswick",16.6,16,15.3,15.5,17.5,18.1,18,18.3,17.8,19.2
"Finance and insurance","New Brunswick",11.8,11.1,11.5,12.3,13.3,13.5,13.1,13.1,13.6,14.5
"Real estate and rental and leasing","New Brunswick",4.8,4.8,3.8,3.2,4.3,4.6,4.9,5.2,4.3,4.8
"Professional, scientific and technical services","New Brunswick",14.9,14.3,17.1,17,15.4,15.9,16.7,17.8,17.5,18.4
"Business, building and other support services 12","New Brunswick",17.2,17.7,20,18.2,15.8,16.7,16.6,16,15.1,14.9
"Educational services","New Brunswick",26.3,25.7,25.1,26.8,26.3,26.6,26.9,27.2,27.6,28.7
"Health care and social assistance","New Brunswick",52.8,54,53.1,51.9,53.6,57.7,58.6,58.8,57,56.7
"Information, culture and recreation","New Brunswick",12.8,12.6,11.5,11.6,12.9,10.8,11.6,13.3,10.7,9.8
"Accommodation and food services","New Brunswick",22.4,24.1,23.5,24.1,22.5,24.5,24.8,23.7,20.4,20.7
"Other services (except public administration)","New Brunswick",17,16.1,16.3,15.3,16.2,15.5,14.9,14.3,14.2,15.9
"Public administration","New Brunswick",23.8,22.8,22.8,24.1,24.3,24.2,25.7,25.6,27.2,30.6
"Total, all industries 6","Quebec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goods-producing sector 7","Quebec",876.1,881.4,846.4,828.7,832.6,863.3,870.4,883.5,850.4,894.2
"Agriculture 8","Quebec",55.9,57.1,55.8,52.8,54.7,56,54.9,55,54.2,57.3
