Geography,Sector,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Northwest Territories,Pharmaceutical and medicine manufacturing  [BS32540],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Miscellaneous chemical product manufacturing  [BS325C0] 13,4,4,2,5,14,23,18,31,23,24
Northwest Territories,Plastic product manufacturing  [BS32610],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Rubber product manufacturing  [BS32620],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Cement and concrete product manufacturing  [BS32730],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Primary metal manufacturing  [BS33100],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Fabricated metal product manufacturing  [BS33200],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Machinery manufacturing  [BS33300],0,1,0,0,0,0,0,0,0,0
Northwest Territories,Computer and peripheral equipment manufacturing  [BS33410],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Electronic product manufacturing  [BS334B0],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Electrical  equipment and component manufacturing  [BS335A0],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Household appliance manufacturing  [BS33520],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Motor vehicle manufacturing  [BS33610],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Motor vehicle body and trailer manufacturing  [BS33620],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Motor vehicle parts manufacturing  [BS33630],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Aerospace product and parts manufacturing  [BS33640],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Railroad rolling stock manufacturing  [BS33650],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Ship and boat building  [BS33660],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Other transportation equipment manufacturing  [BS33690],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Furniture and related product manufacturing  [BS33700],0,0,0,0,0,0,1,1,0,0
Northwest Territories,Miscellaneous manufacturing  [BS33900],0,1,0,0,0,0,0,0,0,0
Northwest Territories,"Total, households",158,152,178,179,153,133,140,146,128,124
Northwest Territories,Households: Motor fuels and lubricants,71,66,76,81,81,73,74,78,67,67
Northwest Territories,Households: Electricity and other fuels,87,86,102,98,72,61,66,69,60,57
Nunavut,"Total, industries and households",516,648,668,652,685,707,762,944,850,738
Nunavut,"Total, industries",488,614,605,559,622,651,716,904,817,702
Nunavut,Animal food manufacturing  [BS31110],0,0,0,0,0,0,0,0,0,0
Nunavut,Sugar and confectionery product manufacturing  [BS31130],0,0,0,0,0,0,0,0,0,0
Nunavut,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],0,0,0,0,0,0,0,0,0,0
Nunavut,Dairy product manufacturing  [BS31150],0,0,0,0,0,0,0,0,0,0
Nunavut,Meat product manufacturing  [BS31160],0,0,0,0,0,0,0,0,0,0
Nunavut,Seafood product preparation and packaging  [BS31170],2,7,2,2,1,1,1,1,0,0
Nunavut,Miscellaneous food manufacturing  [BS311A0],0,0,0,0,0,0,0,0,0,0
Nunavut,Soft drink and ice manufacturing  [BS31211],0,0,0,0,0,0,0,0,0,0
Nunavut,Breweries  [BS31212],0,0,0,0,0,0,0,0,0,0
Nunavut,Wineries and distilleries  [BS3121A],0,0,0,0,0,0,0,0,0,0
Nunavut,Tobacco manufacturing  [BS31220],0,0,0,0,0,0,0,0,0,0
Nunavut,Textile and textile product mills  [BS31A00],0,0,0,0,0,0,0,0,0,0
Nunavut,Clothing and leather and allied product manufacturing  [BS31B00],0,0,0,0,0,0,0,0,0,0
Nunavut,Wood product manufacturing  [BS32100] 12,0,0,0,0,0,0,0,0,0,0
Nunavut,"Pulp, paper and paperboard mills  [BS32210] 12",0,0,0,0,0,0,0,0,0,0
Nunavut,Converted paper product manufacturing  [BS32220],0,0,0,0,0,0,0,0,0,0
Nunavut,Printing and related support activities  [BS32300],0,0,0,0,0,0,0,0,0,0
Nunavut,Petroleum and coal product manufacturing  [BS32400],0,0,0,0,0,0,0,0,0,0
Nunavut,Basic chemical manufacturing  [BS32510],0,0,0,0,0,0,0,0,0,0
Nunavut,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",0,0,0,0,0,0,0,0,0,0
Nunavut,Pharmaceutical and medicine manufacturing  [BS32540],0,0,0,0,0,0,0,0,0,0
Nunavut,Miscellaneous chemical product manufacturing  [BS325C0] 13,1,0,0,1,1,1,1,1,1,1
Nunavut,Plastic product manufacturing  [BS32610],0,0,0,0,0,0,0,0,0,0
Nunavut,Rubber product manufacturing  [BS32620],0,0,0,0,0,0,0,0,0,0
Nunavut,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],0,0,0,0,0,0,0,0,0,0
Nunavut,Cement and concrete product manufacturing  [BS32730],0,0,0,0,0,0,0,0,0,0
Nunavut,Primary metal manufacturing  [BS33100],0,0,0,0,0,0,0,0,0,0
Nunavut,Fabricated metal product manufacturing  [BS33200],0,0,0,0,0,0,0,0,0,0
Nunavut,Machinery manufacturing  [BS33300],0,0,0,0,0,0,0,0,0,0
Nunavut,Computer and peripheral equipment manufacturing  [BS33410],0,0,0,0,0,0,0,0,0,0
Nunavut,Electronic product manufacturing  [BS334B0],0,0,0,0,0,0,0,0,0,0
Nunavut,Electrical  equipment and component manufacturing  [BS335A0],0,0,0,0,0,0,0,0,0,0
Nunavut,Household appliance manufacturing  [BS33520],0,0,0,0,0,0,0,0,0,0
Nunavut,Motor vehicle manufacturing  [BS33610],0,0,0,0,0,0,0,0,0,0
Nunavut,Motor vehicle body and trailer manufacturing  [BS33620],0,0,0,0,0,0,0,0,0,0
Nunavut,Motor vehicle parts manufacturing  [BS33630],0,0,0,0,0,0,0,0,0,0
Nunavut,Aerospace product and parts manufacturing  [BS33640],0,0,0,0,0,0,0,0,0,0
Nunavut,Railroad rolling stock manufacturing  [BS33650],0,0,0,0,0,0,0,0,0,0
Nunavut,Ship and boat building  [BS33660],0,0,0,0,0,0,0,0,0,0
Nunavut,Other transportation equipment manufacturing  [BS33690],0,0,0,0,0,0,0,0,0,0
Nunavut,Furniture and related product manufacturing  [BS33700],0,0,0,0,0,0,0,0,0,0
Nunavut,Miscellaneous manufacturing  [BS33900],0,0,0,0,0,0,0,0,0,0
Nunavut,"Total, households",28,33,63,92,63,56,46,41,33,36
Nunavut,Households: Motor fuels and lubricants,17,21,22,24,28,27,22,22,20,22
Nunavut,Households: Electricity and other fuels,11,12,41,69,35,29,24,19,14,13
