Geography,Sector,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nova Scotia,Other transportation equipment manufacturing  [BS33690],0,0,0,0,0,0,0,0,0,0
Nova Scotia,Furniture and related product manufacturing  [BS33700],5,4,2,2,2,4,5,5,2,2
Nova Scotia,Miscellaneous manufacturing  [BS33900],3,5,3,3,3,3,7,7,3,3
Nova Scotia,"Total, households",5125,4782,4445,4975,4648,4772,4918,4777,4114,4073
Nova Scotia,Households: Motor fuels and lubricants,2619,2333,2159,2545,2563,2690,2765,2749,2219,2320
Nova Scotia,Households: Electricity and other fuels,2506,2448,2286,2429,2085,2083,2153,2028,1895,1753
New Brunswick,"Total, industries and households",19657,17956,16698,18238,19209,18119,17973,17014,15665,16139
New Brunswick,"Total, industries",15096,13868,12567,13489,14825,14386,14436,13768,12910,13527
New Brunswick,Animal food manufacturing  [BS31110],4,3,3,5,8,9,7,5,5,4
New Brunswick,Sugar and confectionery product manufacturing  [BS31130],3,3,2,2,2,3,2,2,2,3
New Brunswick,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],99,98,64,77,38,56,51,70,13,13
New Brunswick,Dairy product manufacturing  [BS31150],9,7,3,5,13,10,6,8,7,7
New Brunswick,Meat product manufacturing  [BS31160],6,4,8,16,17,17,7,17,17,16
New Brunswick,Seafood product preparation and packaging  [BS31170],50,47,44,34,39,34,41,31,23,21
New Brunswick,Miscellaneous food manufacturing  [BS311A0],10,13,15,13,11,7,8,8,8,8
New Brunswick,Soft drink and ice manufacturing  [BS31211],8,7,11,10,11,9,8,4,4,4
New Brunswick,Breweries  [BS31212],21,18,17,19,34,21,15,20,30,28
New Brunswick,Wineries and distilleries  [BS3121A],0,0,0,0,0,0,0,0,0,0
New Brunswick,Tobacco manufacturing  [BS31220],0,0,0,0,0,0,0,0,0,0
New Brunswick,Textile and textile product mills  [BS31A00],2,1,1,1,2,2,2,1,1,1
New Brunswick,Clothing and leather and allied product manufacturing  [BS31B00],0,0,0,0,0,0,0,0,0,0
New Brunswick,Wood product manufacturing  [BS32100] 12,305,289,206,282,326,584,773,642,662,454
New Brunswick,"Pulp, paper and paperboard mills  [BS32210] 12",2828,2827,2364,2636,3406,3487,3623,3353,3365,3518
New Brunswick,Converted paper product manufacturing  [BS32220],6,5,3,9,4,4,5,8,8,8
New Brunswick,Printing and related support activities  [BS32300],2,1,1,1,1,1,1,1,1,1
New Brunswick,Petroleum and coal product manufacturing  [BS32400],2706,2582,2518,2380,2848,3008,2378,2802,2799,2667
New Brunswick,Basic chemical manufacturing  [BS32510],3,5,4,9,5,9,10,18,27,22
New Brunswick,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",4,7,10,9,15,15,14,14,25,22
New Brunswick,Pharmaceutical and medicine manufacturing  [BS32540],0,0,0,0,0,0,0,0,0,0
New Brunswick,Miscellaneous chemical product manufacturing  [BS325C0] 13,2,1,1,0,1,1,1,1,1,0
New Brunswick,Plastic product manufacturing  [BS32610],9,8,16,9,8,8,13,12,15,15
New Brunswick,Rubber product manufacturing  [BS32620],2,2,2,1,1,1,1,1,1,1
New Brunswick,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],36,21,19,33,116,140,148,158,143,149
New Brunswick,Cement and concrete product manufacturing  [BS32730],21,22,3,3,10,10,26,13,21,23
New Brunswick,Primary metal manufacturing  [BS33100],166,172,74,164,142,199,206,31,1,0
New Brunswick,Fabricated metal product manufacturing  [BS33200],22,23,24,18,19,13,17,18,21,21
New Brunswick,Machinery manufacturing  [BS33300],6,7,6,3,3,4,3,6,7,7
New Brunswick,Computer and peripheral equipment manufacturing  [BS33410],0,0,0,0,0,0,0,0,0,0
New Brunswick,Electronic product manufacturing  [BS334B0],0,1,0,0,0,0,0,0,0,0
New Brunswick,Electrical  equipment and component manufacturing  [BS335A0],1,1,1,1,0,0,0,0,0,0
New Brunswick,Household appliance manufacturing  [BS33520],0,0,0,0,0,0,0,0,0,0
New Brunswick,Motor vehicle manufacturing  [BS33610],2,2,2,1,0,1,1,1,1,1
New Brunswick,Motor vehicle body and trailer manufacturing  [BS33620],2,2,1,1,2,1,2,1,1,1
New Brunswick,Motor vehicle parts manufacturing  [BS33630],1,1,1,0,0,0,0,0,0,0
New Brunswick,Aerospace product and parts manufacturing  [BS33640],1,0,1,1,1,1,0,0,0,0
New Brunswick,Railroad rolling stock manufacturing  [BS33650],0,0,0,0,0,0,0,0,0,0
New Brunswick,Ship and boat building  [BS33660],0,0,0,0,0,0,0,0,0,0
New Brunswick,Other transportation equipment manufacturing  [BS33690],1,1,1,0,0,1,1,2,1,1
New Brunswick,Furniture and related product manufacturing  [BS33700],4,5,3,4,3,3,3,3,3,2
New Brunswick,Miscellaneous manufacturing  [BS33900],7,19,4,4,3,4,2,3,3,4
New Brunswick,"Total, households",4561,4087,4131,4748,4384,3733,3537,3246,2755,2612
New Brunswick,Households: Motor fuels and lubricants,2484,2087,1926,2247,2503,2297,2255,2230,1833,1787
